record_time,ppfd_1_1_1,rg_1_1_2,ta_1_2_1,rh,vpd,u_,co2_flux,h2o_flux,le,h
2024/1/1 0:00,0.0180891,0.937008,-0.947,43.9214,294.658,0.0314745,-6.5715,0.0277521,1.2527,-10.3527
2024/1/1 0:30,0.0136602,0.94609,-2.557,50.9205,234.387,0.124725,-2.14313,0.00331337,0.149744,0.532483
2024/1/1 1:00,0.0112928,0.929527,-2.764,52.0586,222.963,0.130768,-0.450498,-0.0428685,-1.93804,1.22335
2024/1/1 1:30,0.0211808,0.927886,-3.243,53.5052,209.767,0.112337,-1.62386,-0.0509494,-2.30425,16.9908
2024/1/1 2:00,0.0178283,0.937879,-2.847,51.3854,224.594,0.111494,-1.91802,0.132733,6.00123,-33.3389
2024/1/1 2:30,0.018231,0.927147,-3.3,54.3842,204.151,0.0916083,-0.163534,-0.0208226,-0.941821,6.01909
2024/1/1 3:00,0.0152318,0.931464,-3.736,56.4379,188.354,0.039186,0.235391,0.0357515,1.61777,1.25851
2024/1/1 3:30,0.0147284,0.936657,-4.298,57.4544,177.686,0.117783,0.286209,-0.0456739,-2.06766,-1.42917
2024/1/1 4:00,0.0190079,0.937071,-4.281,57.2893,178.145,0.123038,-1.4049,-0.0291022,-1.31747,-11.7003
2024/1/1 4:30,0.020747,0.92735,-4.665,59.8069,163.372,0.127364,0.720985,0.0213594,0.967262,-17.1077
2024/1/1 5:00,0.0256576,0.934724,-4.751,59.5069,163.133,0.116606,0.828045,0.0506467,2.2938,-16.3921
2024/1/1 5:30,0.0196572,0.954673,-5.082,61.0598,153.358,0.0687917,-0.750491,-0.0262441,-1.18893,1.18813
2024/1/1 6:00,0.0171654,0.932082,-5.356,62.3299,145.671,0.124672,-1.50181,-0.0299097,-1.3553,1.5807
2024/1/1 6:30,0.0295939,0.931123,-5.746,63.6921,136.525,0.162831,1.09906,0.0307198,1.39249,-9.00016
2024/1/1 7:00,0.0225611,0.926011,-5.657,62.6446,140.142,0.0991776,0.0921384,0.00796092,0.360868,-6.11999
2024/1/1 7:30,0.521463,0.928841,-5.724,62.7874,139.392,0.194156,-0.301073,-0.00993785,-0.450491,-17.26
2024/1/1 8:00,12.4734,6.6185,-5.513,61.0718,148.234,0.199546,2.34235,0.0319167,1.44652,-25.879
2024/1/1 8:30,48.9888,27.7951,-5.613,62.3992,142.938,0.119494,-1.44226,-0.0148557,-0.673298,10.5199
2024/1/1 9:00,95.6541,55.6561,-5.809,62.154,145.054,0.133483,-0.881354,-0.0258746,-1.17258,0.342204
2024/1/1 9:30,179.52,111.24,-5.683,59.9436,157.97,0.40001,-5.31734,-0.0160357,-0.726452,99.4492
2024/1/1 10:00,306.037,197.826,-3.799,51.5035,220.688,0.200634,-3.43846,0.388262,17.5577,100.626
2024/1/1 10:30,407.839,258.061,-3.174,47.9654,253.132,0.253509,-8.92639,0.170383,7.69846,166.716
2024/1/1 11:00,457.9,278.29,-2.769,46.2021,271.597,0.174052,-2.7302,0.134202,6.06083,62.9069
2024/1/1 11:30,571.628,332.973,-1.883,46.329,287.635,0.196614,-7.21912,0.201799,9.10669,171.772
2024/1/1 12:00,384.332,216.102,-2.264,49.3157,267.116,0.208583,-0.00594078,0.0966291,4.36156,42.7185
2024/1/1 12:30,235.02,131.701,-2.102,49.3866,267.817,0.169741,-1.36012,0.0926928,4.18367,43.141
2024/1/1 13:00,253.618,141.258,-1.954,49.3296,269.188,0.190905,-1.92877,0.115319,5.20462,51.1449
2024/1/1 13:30,249.276,139.733,-1.758,48.2796,279.438,0.107007,-0.855587,0.0548024,2.47284,22.9154
2024/1/1 14:00,304.677,174.569,-1.61,48.645,278.084,0.13041,-1.15317,0.0978337,4.4144,35.8914
2024/1/1 14:30,394.846,223.826,-1.305,47.6286,292.625,0.206903,-1.10641,0.0959616,4.32817,46.373
2024/1/1 15:00,299.149,168.975,-0.755,47.4021,300.602,0.177431,-0.851895,0.107282,4.83734,44.381
2024/1/1 15:30,125.22,69.6321,-0.943,48.3851,290.232,0.106622,-0.63791,0.0398143,1.7956,9.28043
2024/1/1 16:00,57.6663,31.8997,-0.987,48.2008,293.293,0.0886955,-0.620513,0.063571,2.86677,4.47384
2024/1/1 16:30,27.9659,15.1068,-1.034,48.206,295.945,0.194241,-2.24636,0.0142546,0.642741,3.32362
2024/1/1 17:00,11.5363,5.71368,-1.119,49.2575,281.859,0.143735,0.192742,-0.0486493,-2.1944,3.39419
2024/1/1 17:30,1.85934,1.27771,-1.296,52.5404,253.579,0.0638898,-0.875759,0.000692348,0.0312451,-1.33247
2024/1/1 18:00,0.0259388,0.94467,-1.757,55.6478,226.533,0.12421,-1.87998,-0.0749718,-3.38537,2.55703
2024/1/1 18:30,0.0192553,0.950383,-2.126,57.8789,208.286,0.176961,0.525166,-0.023316,-1.05327,-5.63688
2024/1/1 19:00,0.0245023,0.942239,-2.235,58.3404,202.095,0.136904,-0.0697787,-0.00554813,-0.250691,-10.0447
2024/1/1 19:30,0.0125738,0.953599,-2.769,60.3467,184.824,0.153742,0.670387,0.0117595,0.531619,-10.3523
2024/1/1 20:00,0.0245902,0.946512,-3.02,61.1792,177.891,0.151638,0.355694,0.0540924,2.44592,-16.4435
2024/1/1 20:30,0.020539,0.950737,-3.235,62.0195,170.855,0.119916,0.302039,0.0227847,1.0305,-9.56819
2024/1/1 21:00,0.0243172,0.942836,-3.383,61.8574,169.959,0.147595,0.436004,0.0302959,1.37038,-16.7316
2024/1/1 21:30,0.0182627,0.931672,-3.563,62.273,166.069,0.132623,0.113047,0.0247097,1.11787,-17.7807
