record_time,rg_1_1_2,rn,ta,vpd,swc,ts,rh,pm2_5
2021/8/22 6:00,2.65476,-2.46844,21.295,497.019,0.254859,20.5,79.8659,22
2021/8/22 7:00,6.37444,6.78182,21.138,545.7269299,0.254698,20.5,77.89445607,26
2021/8/22 8:00,39.0572,35.163,21.875,562.2626816,0.254556,20.5,77.73421003,19
2021/8/22 9:00,58.8086,50.6888,21.721,271.28,0.254495,20.5,89.4787,21
2021/8/22 10:00,167.702,158.379,22.364,305.465,0.254285,20.56,88.654,
2021/8/22 11:00,378.789,360.847,23.83,501.942,0.254011,20.693,83.3082,
2021/8/22 12:00,463.636,432.036,25.975,779.32,0.253569,20.927,77.4032,
2021/8/22 13:00,409.397,370.607,26.504,855.397,0.253087,21.26,76.0054,12
2021/8/22 14:00,524.57,488.104,27.312,1013.59,0.252765,21.587,73.2007,14
2021/8/22 15:00,439.342,391.484,27.646,969.765,0.252079,21.86,74.3451,23
2021/8/22 16:00,352.281,290.324,27.58,930.717,0.251678,22.093,75.0917,
2021/8/22 17:00,176.002,124.317,27.295,761.984,0.251109,22.26,78.7595,22
2021/8/22 18:00,45.4369,15.9775,26.533,508.61,0.25101,22.397,84.9752,18
2021/8/22 19:00,5.40351,-4.72209,26.017,414.309,0.250647,22.4,87.4004,
2021/8/22 20:00,1.01751,-14.4671,25.662,339.093,0.250527,22.4,89.4184,
2021/8/22 21:00,0.967194,-12.264,25.209,227.449,0.250388,22.4,92.6777,
2021/8/22 22:00,0.979836,-18.8672,25.386,283.709,0.25018,22.4,90.8967,50
2021/8/22 23:00,0.972908,-15.7209,25.559,564.7591048,0.250104,22.4,77.08929423,48
2021/8/23 0:00,0.978163,-43.1309,25.15,270.91,0.250032,22.3,91.0672,57
2021/8/23 1:00,0.947275,-25.9043,24.567,248.398,0.249886,22.3,91.6706,
2021/8/23 2:00,0.962058,-6.65423,23.03,832.887,0.249794,22.24,69.2845,46
2021/8/23 3:00,0.973332,-4.68448,23.339,857.176,0.249662,22.04,68.9313,
2021/8/23 4:00,0.962092,-12.07,22.94,598.78,0.249508,21.9,77.929,
2021/8/23 5:00,0.977936,-4.59546,23.291,734.111,0.2493,21.8,73.6765,47
2021/8/23 6:00,1.91764,-3.80187,22.472,511.883,0.249209,21.707,80.5989,50
2021/8/23 7:00,13.2736,13.3435,22.32,353.498,0.24914,21.7,86.2031,43
2021/8/23 8:00,103.39,96.7633,23.051,763.49,0.248992,21.54,72.6277,
2021/8/23 9:00,302.576,288.98,23.066,645.794,0.248694,21.5,77.21,39
2021/8/23 10:00,503.122,470.66,24.174,793.994,0.248298,21.593,74.5182,40
