id,asset_type_id,indicator_from,asset_name,model,asset_id,en_name,zh_name,belong_to,chart_type,qc_code,is_qc,qc_chart_type,is_gapfill,qc_lower_limit,qc_upper_limit,description,machine_unit,unit,formula,is_key,is_diagnosis,is_physical,is_default,lower_threshold,upper_threshold,warning_level,is_visible,lower_limit,upper_limit,is_core,level1,level2,level3,level4,level5,level6,code,deleted_at,updated_at,created_at,created_by,updated_by,show_lower_limit,show_upper_limit
16,1,Licor,Gill WindMaster专业级三维超声风速仪,GILL-WMP,,Tau,动量通量,flux,line,tau,1,line,1,-5,5,动量通量,"",[kg+1m-1s-2],,1,1,0,,0.0,10.0,2,1,0.0,10.0,0,"","","","","","",tau,,2024-03-19 20:49:34,,"","",-5,5
19,1,Licor,Gill WindMaster专业级三维超声风速仪,GILL-WMP,,H,显热通量,flux,bar,h,1,bar,1,-800,800,量化近地表大气增温所用能量,"",[W+1m-2],,1,1,0,,-200.0,600.0,3,1,-200.0,600.0,1,"","","","","","",h,,2024-03-19 20:49:34,,"","",-800,800
22,1,Licor,开路式二氧化碳和水气体分析仪,LI-7500DS,,LE,潜热通量,flux,bar,le,1,bar,1,-500,1000,量化驱动蒸散发所用能量,"",[W+1m-2],,2,1,0,,-300.0,1000.0,3,1,-300.0,1000.0,1,"","","","","","",le,,2024-03-19 20:49:34,,"","",-500,1000
25,1,Licor,开路式二氧化碳和水气体分析仪,LI-7500DS,,co2_flux,CO2通量,flux,bar,co2_flux,1,bar,1,-50,50,下垫面与大气间CO2交换量,"",[μmol+1s-1m-2],,1,1,0,,-50.0,50.0,3,1,-50.0,50.0,1,"","","","","","",co2_flux,,2024-03-19 20:49:34,,"","",-50,50
28,1,Licor,开路式二氧化碳和水气体分析仪,LI-7500DS,,h2o_flux,H2O通量,flux,bar,h2o_flux,1,bar,1,-10,25,蒸散发,"",[mmol+1s-1m-2],,1,1,0,,-10.0,25.0,3,1,-10.0,25.0,1,"","","","","","",h2o_flux,,2024-03-19 20:49:34,,"","",-10,25
31,1,Licor,开路式甲烷分析仪,LI-7700,36,ch4_flux,甲烷通量,flux,bar,ch4_flux,1,bar,1,-50,50,甲烷通量,"",[μmol+1s-1m-2],,1,1,0,,-50.0,50.0,3,1,-50.0,50.0,1,"","","","","","",ch4_flux,,2024-03-19 20:49:34,,"","",-50,50
34,1,Licor,Gill WindMaster专业级三维超声风速仪,GILL-WMP,,H_strg,显热通量储存项,flux,bar,h_strg,1,bar,0,-30,30,显热通量储存项估算值（单层法）,"",[W+1m-2],,1,0,0,,NA,NA,0,1,-30.0,30.0,0,"","","","","","",h_strg,,2024-03-19 20:49:34,,"","",-30,30
35,1,Licor,开路式二氧化碳和水气体分析仪,LI-7500DS,,LE_strg,潜热通量储存项,flux,bar,le_strg,1,bar,0,-30,30,潜热通量储存项估算值（单层法）,"",[W+1m-2],,1,0,0,,NA,NA,0,1,-30.0,30.0,0,"","","","","","",le_strg,,2024-03-19 20:49:34,,"","",-30,30
36,1,Licor,开路式二氧化碳和水气体分析仪,LI-7500DS,,co2_strg,CO2通量储存项,flux,bar,co2_strg,1,bar,0,-5,5,CO2通量储存项估算值（单层法）,"",[μmol+1s-1m-2],,1,0,0,,NA,NA,0,1,-5.0,5.0,0,"","","","","","",co2_strg,,2024-03-19 20:49:34,,"","",-5,5
37,1,Licor,开路式二氧化碳和水气体分析仪,LI-7500DS,,h2o_strg,H2O通量储存项,flux,bar,h2o_strg,1,bar,0,-0.5,0.5,H2O通量储存项估算值（单层法）,"",[mmol+1s-1m-2],,1,0,0,,NA,NA,0,1,-0.5,0.5,0,"","","","","","",h2o_strg,,2024-03-19 20:49:34,,"","",-0.5,0.5
